MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,FOSECO INDIA LTD,      1573.75,      1581.65,      1608.00,      1538.20,      1543.40,                 19097604.85,12172,N, ,1375,      1788.90,       998.00
N,FUTURE RETAIL LIMITED,        65.85,        66.50,        66.75,        64.20,        64.70,                112420346.50,1718140,N, ,10070,       167.90,        40.55
N,FIRSTSOURCE SOLU. LTD.,       186.95,       188.75,       197.40,       186.00,       192.05,               2740898153.40,14251894,N, ,93942,       205.50,        35.20
N,GABRIEL INDIA LTD,       120.15,       120.85,       122.20,       120.60,       121.20,                 30056366.70,247822,N, ,3165,       134.95,        81.20
N,GUJARAT AMBUJA EXPORTS LT,       173.60,       174.70,       187.40,       171.45,       182.05,                577591900.20,3154537,N, ,33907,       226.20,       103.60
N,GALAXY SURFACTANTS LTD,      3022.95,      3048.50,      3052.30,      2991.05,      3022.45,                122204248.75,40456,N, ,9225,      3294.70,      1427.65
N,GALLANTT METAL LIMITED,        78.65,        79.05,        79.15,        76.00,        76.65,                 13938748.20,180458,N, ,2979,        83.80,        28.35
N,GALLANTT ISPAT LTD,        57.40,        58.05,        58.25,        54.45,        55.05,                  8457059.30,151008,N, ,2937,        62.00,        25.30
N,GAMMON INFRA PROJ LTD.,         2.30,         2.25,         2.35,         2.20,         2.20,                 30660978.25,13701663,N, ,2535,         2.90,          .55
N,GANDHI SPL. TUBES LTD,       423.45,       424.75,       463.95,       423.00,       452.30,                 62190437.95,139456,N, ,6985,       463.95,       182.00
N,GANESHA ECOSPHERE LIMITED,       540.90,       544.00,       546.70,       531.60,       539.05,                  7622011.95,14204,N, ,723,       688.50,       198.75
N,GANGA FORGING LIMITED,        92.90,        91.80,        93.10,        91.80,        92.65,                  3699200.00,40000,N, ,5,        93.10,         9.50
N,GANGES SECURITIES LIMITED,        86.40,        85.10,        87.75,        81.20,        83.80,                  3119255.20,37537,N, ,1037,        95.90,        26.75
N,GARWARE TECH FIBRES LTD,      3383.20,      3399.00,      3430.00,      3348.15,      3394.85,                 23683905.45,6978,N, ,2510,      3550.00,      1341.30
N,GATI LIMITED,       161.15,       161.95,       164.70,       159.00,       162.05,                213837509.00,1322253,N, ,17556,       179.95,        41.50
N,GAYATRI PROJECTS LTD,        31.60,        31.75,        33.40,        31.60,        32.55,                 47926323.50,1467818,N, ,4732,        48.65,        15.20
N,GEECEE VENTURES LIMITED,       158.05,       155.40,       160.50,       155.00,       156.30,                  3774396.95,24041,N, ,459,       169.70,        60.35
N,GEEKAY WIRES LIMITED,        89.25,        89.55,        99.00,        88.35,        94.20,                 25088637.95,262508,N, ,2276,       106.00,        64.35
N,GENERIC ENG CONS PROJ LTD,        46.25,        47.20,        48.80,        46.05,        46.45,                  3019090.65,64145,N, ,531,        68.00,        41.10
N,GENESYS INTL CORPN LTD,       129.85,       128.90,       133.55,       128.50,       131.00,                  5463690.70,41715,N, ,759,       141.15,        27.50
N,GENUS P&B LIMITED,        12.10,        12.40,        12.65,        11.80,        11.90,                 20658856.90,1699310,N, ,3444,        12.65,         4.40
N,GENUS POWER INFRASTRU LTD,        69.45,        68.20,        68.30,        63.70,        66.05,                237757936.30,3613312,N, ,23261,        70.45,        21.10
N,GEOJIT FINANCIAL SER L,        75.55,        75.95,        77.60,        74.95,        77.10,                 61040046.05,795482,N, ,7368,        81.80,        32.25
N,GE POWER INDIA LIMITED,       353.40,       356.00,       357.80,       346.15,       348.40,                 74690713.05,213137,N, ,5966,       549.00,       177.10
N,THE GE SHPG.LTD,       388.85,       389.00,       392.50,       386.25,       388.25,                 60242442.30,155010,N, ,4615,       445.00,       207.00
N,GE T&D INDIA LIMITED,       140.50,       141.85,       142.05,       138.20,       138.60,                 18037816.15,128958,N, ,2742,       153.80,        72.80
N,GFL LIMITED,        69.90,        70.50,        70.50,        68.55,        68.70,                  5243178.60,75700,N, ,1214,       118.00,        64.50
N,GHCL LIMITED,       271.35,       272.90,       282.00,       268.45,       275.00,                 81995249.50,297195,N, ,12319,       296.55,       133.00
N,GIC HOUSING FINANCE LTD,       181.45,       180.00,       191.50,       176.65,       189.25,                477513757.55,2595452,N, ,30753,       197.25,        81.25
N,GILLANDERS ARBUTHNOT LTD,        47.65,        49.25,        49.25,        46.15,        46.90,                  1761383.35,37137,N, ,368,        52.75,        25.60
N,GILLETTE INDIA LTD,      5673.15,      5675.05,      5711.05,      5652.10,      5698.65,                 58788734.25,10325,N, ,1029,      6200.00,      4920.00
N,GINNI FILAMENTS LTD,        33.95,        34.80,        34.90,        33.60,        33.70,                 11377324.30,334153,N, ,1041,        38.40,        10.70
N,GUJ IND POW CO. LTD,        83.70,        84.00,        84.30,        82.60,        82.70,                 12776079.55,153774,N, ,2111,        94.70,        65.00
N,GIRIRAJ CIVIL DEVP LTD,        96.60,        96.60,        96.60,        96.60,        96.60,                   115920.00,1200,N, ,1,        96.60,        51.00
