SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
SALSTEEL,BE,S.A.L. STEEL LTD.,L
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,L
SAREGAMA,BE,SAREGAMA INDIA LIMITED,L
SECURCRED,SM,SECUR CREDENTIALS LIMITED,L
SICAL,EQ,SICAL LOGISTICS LIMITED,L
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES L,L
SINTEX,BE,SINTEX INDUSTRIES LTD,L
SITINET,BE,SITI NETWORKS LIMITED,L
SKIL,BE,SKIL INFRASTRUCTURE LTD.,L
SKSTEXTILE,SM,S K S TEXTILES LIMITED,L
SOLEX,SM,SOLEX ENERGY LIMITED,L
SOMATEX,BE,SOMA TEXTILEI NDUSTRIES L,L
SPENTEX,BZ,SPENTEX IND. LTD,L
SPMLINFRA,BE,SPML INFRA LIMITED,L
SPTL,BE,SINTEX PLASTICS TECH LTD,L
SREIBNPNCD,Y2,SEC RED NCD 9.50% SR. VII,L
SREIBNPNCD,Y8,SEC RED NCD 9.00% SR. VII,L
SREIBNPNCD,NZ,SEC RED NCD SR. VII,L
SREIBNPNCD,NY,SEC RED NCD 10.00% SR. VI,L
SREIBNPNCD,NT,UNS RED NCD SR. VI,L
SREINFRA,EQ,SREI INFRASTRUCTURE FINAN,L
SUNDARAM,BE,SUNDARAM MULTI PAP LTD,L
TARAPUR,BE,TARAPUR TRANSFORMERS LTD,L
TECHIN,BE,TECHINDIA NIRMAN LIMITED,L
TGBHOTELS,BE,TGB BANQUETS&HOTELS LTD,L
TMRVL,BE,THE MANDHANA RET VENT LTD,L
TRF,BE,TRF LIMITED,L
TVVISION,BE,TV VISION LIMITED,L
UGARSUGAR,EQ,THE UGAR SUGAR WORKS LTD,L
UMESLTD,BE,USHA MARTIN EDU & SOL LTD,L
UNITECH,BZ,UNITECH LIMITED,L
URJAPP,X1,URJA RS.0.25 PPD UP,L
UTTAMSTL,EQ,UTTAM GALVA STEELS LTD,L
VENUSREM,EQ,VENUS REMEDIES LIMITED,L
VICEROY,BZ,VICEROY HOTELS LIMITED,L
VIJIFIN,BE,VIJI FINANCE LIMITED,L
VIKASECO,BE,VIKAS ECOTECH LIMITED,L
VIKASLIFE,EQ,VIKAS LIFECARE LIMITED,L
VINEETLAB,EQ,VINEET LABORATORIES LTD,L
VIPCLOTHNG,EQ,VIP CLOTHING LIMITED,L
VISASTEEL,BE,VISA STEEL LIMITED,L
VIVIDHA,BE,VISAGAR POLYTEX LTD,L
VIVIMEDLAB,BE,VIVIMED LABS LIMITED,L
WANBURY,BE,WANBURY LIMITED,L
WEWIN,SM,WE WIN LIMITED,L
WSI,BE,W.S.INDUSTRIES (I) LTD.,L
XPROINDIA,BE,XPRO INDIA LIMITED,L
