MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N5,ERFLNCDI,SEC RED NCD 8.88% SR. V,       920.00,       915.00,       915.00,       911.80,       911.80,                    10061.80,11, ,3,       940.00,       681.70
N,N5,IIFL,SEC RED NCD 10.20 % SR.IV,      1055.00,      1055.00,      1088.00,      1055.00,      1060.00,                   193586.50,183, ,23,      1199.00,       831.00
N,N5,IREDA,IREDA 8.80NCDTR I SR II B,      1291.00,      1309.99,      1309.99,      1309.99,      1309.99,                     6549.95,5, ,1,      1449.00,      1233.30
N,N5,IRFC,BOND 6.88% PA TAX FREE S1,      1285.00,      1053.10,      1292.00,      1053.10,      1085.00,                    29235.10,23, ,4,      1425.00,      1052.10
N,N6,DHFL,SEC RED NCD 8.93% SR. 3B,       379.53,       379.60,       379.79,       379.60,       379.76,                    17849.18,47, ,2,       390.00,       181.85
N,N6,EHFLNCD,SEC RED NCD 10% SR. VI,      1015.00,      1000.00,      1040.00,      1000.00,      1040.00,                   158555.00,154, ,6,      1047.50,       585.01
N,N6,ERFLNCDI,SEC RED NCD 9.25% SR. VI,       930.00,       929.80,       935.00,       929.80,       935.00,                   112542.00,121, ,3,       945.00,       612.50
N,N6,IBUCCREDIT,SERENCD8.90%SRIIICIII&IV,      1050.00,      1045.00,      1045.00,      1045.00,      1045.00,                    52250.00,50, ,1,      1080.00,       712.48
N,N6,IIFL,UNSEC RED NCD 10.0% SR. V,      1029.00,      1029.00,      1029.90,      1020.00,      1020.00,                   591420.00,577, ,4,      1085.00,       930.00
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1290.46,      1290.00,      1294.00,      1290.00,      1294.00,                   517200.00,400, ,2,      1406.97,      1247.00
N,N6,NHBTF2014,BOND 9.01%PA TF TR-I S 3B,      7325.00,      7222.00,      7226.00,      7210.00,      7225.00,                  1855467.00,257, ,25,      7650.00,      6957.00
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1430.14,      1430.14,      1431.00,      1422.00,      1430.01,                  2431606.25,1705, ,36,      1520.01,      1386.00
N,N6,RHFL,SEC RED NCD 9.15% SR III,       227.70,       221.01,       223.15,       220.00,       223.15,                    88497.85,400, ,6,       335.90,       151.80
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1080.00,      1098.98,      1098.98,      1072.25,      1072.25,                   108401.48,101, ,3,      1300.00,      1000.00
N,N7,DHANILOANS,DHANI LOANS & SERV LTD,      1004.78,      1020.00,      1020.00,      1010.01,      1010.01,                    39630.15,39, ,2,      1139.00,       815.00
N,N7,IBUCCREDIT,SERENCD8.66%SRIVCIII&IV,       964.90,       965.00,       965.00,       945.70,       962.00,                   174221.40,183, ,9,       995.00,       721.02
N,N7,IBULHSGFIN,SEC RED NCD SR. IV,      1472.00,      1453.03,      1453.03,      1453.03,      1453.03,                     7265.15,5, ,1,      1494.00,      1100.00
N,N7,IREDA,7.74% TAX FREE NCD,      1260.00,      1249.99,      1250.00,      1249.99,      1250.00,                   132499.50,106, ,2,      1319.99,      1210.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        13.90,        13.90,        13.95,        13.84,        13.90,                   286529.81,20633, ,98,        15.20,        12.00
N,N8,DHANILOANS,DHANI LOANS & SERV LTD,      1220.00,      1200.00,      1200.00,      1200.00,      1200.00,                   120000.00,100, ,1,      1284.00,       648.10
N,N8,IBULHSGFIN,SEC RED NCD 8.65% SR. V,       970.00,       970.20,       970.20,       970.20,       970.20,                    97020.00,100, ,3,      1069.90,       700.00
